trial,odour,conc,percent,gb,normalized
1,2-Hydroxyhexanoic Acid (DCM),0.01,53.56106317,Good,13.29720866
1,2-Hydroxyhexanoic Acid (DCM),0.1,142.5359958,Good,129.8422834
1,2-Hydroxyhexanoic Acid (DCM),1,157.8909218,Good,136.6651364
1,Methyl Palmitate,0.01,137.7044874,Good,127.3807253
1,Hexane,0,100,Good,100
1,Methyl Oleate,10,202.7436997,Good,150.6766424
1,1-Hexadecanol,0.01,181.2232384,Good,144.8194388
1,Methyl Palmitate,1,133.0658584,Good,124.8492429
1,Heptadecane,0.01,44.05634857,Good,-26.98204289
1,Heptadecane,0.1,153.7253428,Good,134.9489172
1,Heptadecane,1,63.77088069,Good,43.18861694
1,Methyl Palmitate,0.01,38.31861118,Good,-60.9697923
1,Methyl Palmitate,0.1,20.39028306,Good,-290.4296802
1,Methyl Palmitate,1,72.76770628,Good,62.57640221
1,Methyl Palmitate,10,50.43636496,Good,1.730358498
1,2-Heptanol,0.1,17.58721119,Good,-368.5949803
1,Hexane,0,100,Good,100
1,Methyl Palmitate,0.1,140.5745531,Good,128.8633698
1,Methyl Palmitate,1,279.5553415,Good,164.2289074
1,2-Nonanal,0.01,194.5833588,Good,148.6081438
1,2-Nonanal,0.1,79.89463697,Good,74.83515316
1,2-Nonanal,1,285.4040613,Good,164.9619562
1,2-Nonanal,10,405.981937,Good,175.3683623
1,Hexane,0,100,Good,100
1,Methyl Palmitate,0.01,628.7745705,Good,184.0960489
1,Methyl Palmitate,0.1,272.9760942,Good,163.3667555
1,Methyl Palmitate,1,34.36477401,Good,-90.99565724
2,Hexane,0,100,Good,100
2,Methyl Palmitate,0.01,2507.582318,Good,196.012095
2,Methyl Palmitate,0.1,1652.883959,Good,193.9499685
2,Methyl Palmitate,1,1144.612984,Good,191.2634225
2,Hexadecanal,0.01,743.6236339,Good,186.552337
2,Hexadecanal,0.1,754.3057262,Good,186.742776
2,Hexadecanal,1,609.6163345,Good,183.5962401
2,Heptadecane,0.01,869.3131184,Good,188.496665
2,Heptadecane,0.1,454.4771045,Good,177.9966914
2,Heptadecane,1,28.97249672,Bad,-145.1549273
2,Methyl Palmitate,0.1,93.17309273,Bad,92.67287682
2,Methyl Palmitate,10,628.7589845,Good,184.0956547
2,2-Nonanal,0.01,183.9187708,Bad,145.6281708
2,2-Nonanal,0.1,63.65961339,Bad,42.91453455
2,2-Nonanal,1,39.77840904,Bad,-51.39265854
2,Methyl Palmitate,0.01,37.90418138,Bad,-63.82313605
