trial,odour,conc,absamp,linearhex,percent,normalized,gb,humid,temp,dewp,hour,min
1,2-Hydroxyhexanoic Acid (DCM),0.01,3.02124,5.640739413,53.56106317,13.29720867,Good,69,20.8,14.9,2013.1145,13.1145
1,2-Hydroxyhexanoic Acid (DCM),0.1,8.08716,5.673766793,142.5359958,129.8422834,Good,69.03958423,20.78680526,14.89604158,2013.8387,13.8387
1,2-Hydroxyhexanoic Acid (DCM),1,9.00269,5.701841435,157.8909218,136.6651364,Good,69.07323246,20.77558918,14.89267675,2014.4543,14.4543
1,Methyl Palmitate,0.01,7.94983,5.773108886,137.7044874,127.3807253,Good,69.15864846,20.74711718,14.88413515,2016.017,16.017
1,Hexane,0,5.90515,5.90515,100,100,Good,69.31690337,20.69436554,14.86830966,2018.9123,18.9123
1,Methyl Oleate,10,12.3138,6.073579608,202.7436997,150.6766424,Good,69.5187709,20.62707637,14.84812291,2022.6055,22.6055
1,1-Hexadecanol,0.01,11.5967,6.399124141,181.2232384,144.8194388,Good,69.90894499,20.49701834,14.8091055,2029.7438,29.7438
1,Methyl Palmitate,1,8.95691,6.731185677,133.0658584,124.8492429,Good,70.30692988,20.36435671,14.76930701,2037.025,37.025
1,Heptadecane,0.01,3.00598,6.823034813,44.05634857,-26.98204289,Good,70.4170136,20.32766213,14.75829864,2039.039,39.039
1,Heptadecane,0.1,10.5591,6.868808883,153.7253428,134.9489172,Good,70.47187509,20.30937497,14.75281249,2040.0427,40.0427
1,Heptadecane,1,4.40979,6.915052689,63.77088069,43.18861694,Good,70.52729956,20.29090015,14.74727004,2041.0567,41.0567
1,Methyl Palmitate,0.01,2.73132,7.127920131,38.31861117,-60.96979231,Good,70.78242705,20.20585765,14.72175729,2045.7243,45.7243
1,Methyl Palmitate,0.1,1.46484,7.184010128,20.39028306,-290.4296802,Good,70.84965246,20.18344918,14.71503475,2046.9542,46.9542
1,Methyl Palmitate,1,5.26428,7.234362974,72.76770628,62.57640221,Good,70.91000173,20.16333276,14.70899983,2048.0583,48.0583
1,Methyl Palmitate,10,3.69263,7.321364263,50.43636496,1.730358488,Good,71.01427517,20.12857494,14.69857248,2049.966,49.966
1,2-Heptanol,0.1,1.297,7.374676895,17.58721119,-368.5949804,Good,71.07817183,20.10727606,14.69218282,2051.135,51.135
1,Hexane,0,7.50732,7.50732,100,100,Good,71.23714824,20.05428392,14.67628518,2054.0435,54.0435
1,Methyl Palmitate,0.1,9.8877,7.033776584,140.5745531,128.8633698,Good,71.34839621,20.01720126,14.66516038,2056.0788,56.0788
1,Methyl Palmitate,1,19.0277,6.806416182,279.5553415,164.2289074,Good,71.40180922,19.99939693,14.65981908,2057.056,57.056
1,2-Nonanal,0.01,12.3291,6.336153345,194.5833589,148.6081438,Good,71.51228649,19.96257117,14.64877135,2059.0772,59.0772
1,2-Nonanal,0.1,4.88281,6.111561658,79.89463697,74.83515316,Good,71.56504906,19.94498365,14.64349509,2100.0425,60.0425
1,2-Nonanal,1,16.7389,5.864983113,285.4040613,164.9619562,Good,71.62297692,19.92567436,14.63770231,2101.1023,61.1023
1,2-Nonanal,10,22.8729,5.633969868,405.981937,175.3683623,Good,71.67724809,19.90758397,14.63227519,2102.0952,62.0952
1,Hexane,0,5.41687,5.41687,100,100,Good,71.72825063,19.89058312,14.62717494,2103.0283,63.0283
1,Methyl Palmitate,0.01,32.5165,5.171408248,628.7745705,184.0960489,Good,71.78591613,19.87136129,14.62140839,2104.0833,64.0833
1,Methyl Palmitate,0.1,12.9089,4.728948898,272.9760942,163.3667555,Good,71.88986162,19.83671279,14.61101384,2105.985,65.985
1,Methyl Palmitate,1,1.54114,4.484650472,34.36477401,-90.99565724,Good,71.94725383,19.81758206,14.60527462,2107.035,67.035
2,Hexane,0,0.717163,0.717163,100,100,Good,82,23,19.8,1201.61533,1.61533
2,Methyl Palmitate,0.01,22.8729,0.912149517,2507.582318,196.012095,Good,82,23,19.8,1203.23317,3.23317
2,Methyl Palmitate,0.1,16.8152,1.017324895,1652.883959,193.9499685,Good,82,23,19.8,1204.10583,4.10583
2,Methyl Palmitate,1,13.0005,1.135798753,1144.612985,191.2634225,Good,82,23,19.8,1205.08883,5.08883
2,Hexadecanal,0.01,10.8795,1.463038492,743.6236337,186.552337,Good,82,23,19.8,1207.804,7.804
2,Hexadecanal,0.1,11.8408,1.569761383,754.3057264,186.742776,Good,82,23,19.8,1208.6895,8.6895
2,Hexadecanal,1,10.4065,1.707057277,609.6163344,183.5962401,Good,82,23,19.8,1209.82867,9.82867
2,Heptadecane,0.01,17.3645,1.997496602,869.3131182,188.496665,Good,82,23,19.8,1212.2385,12.2385
2,Heptadecane,0.1,9.50623,2.091685127,454.4771045,177.9966914,Good,82,23,19.8,1213.02,13.02
2,Heptadecane,1,0.640869,2.211990931,28.97249673,-145.1549272,Bad,82,23,19.8,1214.0182,14.0182
2,Methyl Palmitate,0.1,2.39563,2.571160761,93.17309273,92.67287682,Bad,82,23,19.8,1216.9983,16.9983
2,Methyl Palmitate,10,17.4561,2.77627842,628.7589846,184.0956547,Good,82,23,19.8,1218.7002,18.7002
2,2-Nonanal,0.01,5.41687,2.945251307,183.9187708,145.6281707,Bad,82,23,19.8,1220.1022,20.1022
2,2-Nonanal,0.1,2.02942,3.187923853,63.65961339,42.91453454,Bad,82,23,19.8,1222.1157,22.1157
2,2-Nonanal,1,1.31226,3.298925301,39.77840904,-51.39265852,Bad,82,23,19.8,1223.0367,23.0367
2,Methyl Palmitate,0.01,1.34277,3.542537924,37.90418138,-63.82313605,Bad,82,23,19.8,1225.058,25.058
2,Methyl Palmitate,0.1,7.47681,3.669749681,203.7416895,150.9182435,Bad,82,23,19.8,1226.1135,26.1135
2,Methyl Palmitate,1,1.51062,3.784728379,39.91356443,-50.54139219,Bad,82,23,19.8,1227.0675,27.0675
2,Methyl Palmitate,10,14.2212,3.90581758,364.103026,172.5352461,Good,82,23,19.8,1228.0722,28.0722
2,2-Heptanol,0.01,4.13513,4.034415348,102.4963878,102.4355861,Bad,82,23,19.8,1229.1392,29.1392
2,2-Heptanol,0.1,9.79614,4.150430542,236.0270796,157.6319801,Bad,82,23,19.8,1230.1018,30.1018
2,2-Heptanol,1,7.73621,4.274110982,181.0016172,144.7518749,Good,82,23,19.8,1231.128,31.128
2,2-Heptanol,10,1.8158,4.535946644,40.03133507,-49.80430909,Bad,82,23,19.8,1233.3005,33.3005
2,Hexane,0,4.62341,4.62341,100,100,Good,82,23,19.8,1234.0262,34.0262
2,Methyl Palmitate,0.01,1.12915,4.89016299,23.09023242,-233.0835576,Good,82,23,19.8,1236.2395,36.2395
